prime_award_report_id,prime_award_piid,prime_award_idvpiid,prime_award_federal_award_id,type_of_spending,prime_award_date_submitted,prime_award_report_month,prime_award_report_year,prime_award_report_type,prime_award_principal_place_street,prime_award_principal_place_city,prime_award_principal_place_state,prime_award_principal_place_zip,prime_award_principal_place_district,prime_award_principal_place_country,prime_awardee_parent_duns,prime_awardee_parent_contractor_name,prime_award_contracting_agency_id,prime_award_contracting_agency_name,prime_award_contracting_office_id,prime_award_contracting_office_name,prime_award_funding_agency_id,prime_award_funding_agency_name,prime_award_funding_office_id,prime_award_funding_office_name,prime_award_program_source_agency,prime_award_program_source_account,prime_award_program_source_subaccount,prime_awardee_executive1,prime_awardee_executive1_compensation,prime_awardee_executive2,prime_awardee_executive2_compensation,prime_awardee_executive3,prime_awardee_executive3_compensation,prime_awardee_executive4,prime_awardee_executive4_compensation,prime_awardee_executive5,prime_awardee_executive5_compensation,prime_award_principal_naics_code,prime_award_principal_naics_desc,prime_award_cfda_program_number_title_codes,prime_award_amount,prime_award_date_signed,prime_award_project_description,prime_award_transaction_type,prime_award_program_title,prime_awardee_recovery_model_q1,prime_awardee_recovery_model_q2,prime_award_fiscal_year,prime_award_contracting_major_agency_id,prime_award_contracting_major_agency_name,prime_award_funding_major_agency_id,prime_award_funding_major_agency_name,prime_award_agencyid,prime_award_idvagencyid,subawardee_dunsnumber,subawardee_name,subawardee_dba_name,subawardee_street,subawardee_city,subawardee_state,653491561,subawardee_congressionaldistrict,subawardee_countrycode,subaward_principal_place_street,subaward_principal_place_city,subaward_principal_place_state,subaward_principal_place_zip,subaward_principal_place_district,subaward_principal_place_country,subawardee_parent_duns,subawardee_parent_contractor_name,subaward_amount,subaward_date,subaward_principal_naics_code,subaward_principal_naics_desc,subaward_funding_office_id,subaward_funding_office_name,subaward_federal_agency_id,subaward_federal_agency_name,subaward_major_agency_id,subaward_major_agency_name,subaward_number,subaward_project_description,subawardee_recovery_model_q1,subawardee_recovery_model_q2,subaward_report_month,subaward_report_year,subaward_fiscal_year,subawardee_executive1,subawardee_executive1_compensation,subawardee_executive2,subawardee_executive2_compensation,subawardee_executive3,subawardee_executive3_compensation,subawardee_executive4,subawardee_executive4_compensation,subawardee_name,subawardee_executive5_compensation,subawardee_business_types,subaward_cfda_program_number_title_codes
{F9C548D8-65E2-9251-BF57-29A3C457493F},,,299900255L22E3,"sg",01/29/2016,"12","2015","","","SALINE","MO",651016811,"04","USA",025280335,"TRANSPORTATION, MISSOURI DEPARTMENT OF",6925,"FEDERAL HIGHWAY ADMINISTRATION",,"",,"",,"","",,,"",,"",,"",,"",,"",,"","","20.205",145676,06/05/2014,"CITY OF SLATER; PROJECT TO IMPROVE SIDEWALK AROUND SLATER SCHOOL CAMPUS","","Highway Planning and Construction;","","",2014,6900,"Department of Transportation",6900,"Department of Transportation",6925,,026436407,"City Of Slater","SLATER POLICE DEPARTMENT","117 WALNUT ST","Slater","MO",653491561,"04",USA,"","Slater","MO",653491561,04,USA,039414776,"",877.8,12/14/2015,,"",,"",6925,"FEDERAL HIGHWAY ADMINISTRATION",6900,"Department of Transportation",9900255,"CITY OF SLATER; PROJECT TO IMPROVE SIDEWALK AROUND SLATER SCHOOL CAMPUS","","",12,2015,2016,"",,"",,"",,"",,"City Of Slater",,"","20.205"
{3AE72780-403C-7739-640B-CBA73837B916},,,20A307201L68E31,"sg",01/21/2016,"12","2015","","","BROWN","KS",66527,"02","USA",126298996,"TRANSPORTATION, KANSAS DEPARTMENT OF",6925,"FEDERAL HIGHWAY ADMINISTRATION",,"",,"",,"","",,,"",,"",,"",,"",,"",,"","","20.205",90958,05/23/2014,"HIAWATHA FITNESS AND SCHOOL TRAIL","","Highway Planning and Construction;","","",2014,6900,"Department of Transportation",6900,"Department of Transportation",6925,,035919414,"HIAWATHA, CITY OF","","701 OREGON ST","HIAWATHA","KS",664342204,"02",USA,"","Hiawatha","KS",664342204,02,USA,035919414,"",1066,12/01/2015,,"",,"",6925,"FEDERAL HIGHWAY ADMINISTRATION",6900,"Department of Transportation",KA-3072-01 016152072,"Construction engineering for fitness and school trail","","",12,2015,2016,"",,"",,"",,"",,"HIAWATHA, CITY OF",,"","20.205"
{51B0AF5F-0F23-9E5B-A443-AD056F5B6740},,,DTFH6114H00028,"sg",01/27/2016,"11","2014","","","Bozeman                  ","MT",597172470,"AL","USA",625447982,"MONTANA STATE UNIVERSITY, INC",6925,"FEDERAL HIGHWAY ADMINISTRATION",,"",,"",,"","",,,"",,"",,"",,"",,"",,"","","20.200",600000,09/23/2014,"Regional Surface Transportation Workforce Centers * West Region","","Highway Research and Development Program;","","",2014,6900,"Department of Transportation",6900,"Department of Transportation",6925,,803882299,"NORTH DAKOTA STATE UNIVERSITY","","1919 UNIVERSITY DR N, STE 102","FARGO","ND",581021843,"AL",USA,"","Fargo","ND",581021843,AL,USA,803882299,"",201000,01/26/2016,,"",,"",6925,"FEDERAL HIGHWAY ADMINISTRATION",6900,"Department of Transportation",G166-15-W5124,"Regional Surface Transportation Workforce Center - West Region","","",1,2016,2016,"",,"",,"",,"",,"NORTH DAKOTA STATE UNIVERSITY",,"","20.200"
{EF694A44-3119-C50B-854E-A672388811A9},,,20A207101M24020,"sg",02/08/2016,"01","2016","","","MCPHERSON                ","KS",67460,"01","USA",126298996,"TRANSPORTATION, KANSAS DEPARTMENT OF",6925,"FEDERAL HIGHWAY ADMINISTRATION",,"",,"",,"","",,,"",,"",,"",,"",,"",,"","","20.205",59628,03/07/2014,"BRIDGE #107, BLACK KETTLE CREEK IN MCPHERSON COUNTY","","Highway Planning and Construction;","","",2014,6900,"Department of Transportation",6900,"Department of Transportation",6925,,803666346,"MOUNDRIDGE, CITY OF","POLICE DEPARTMENT","225 S CHRISTIAN AVE","MOUNDRIDGE","KS",671078800,"01",USA,"","Moundridge","KS",671078800,01,USA,036197267,"",59553,01/13/2016,,"",,"",6925,"FEDERAL HIGHWAY ADMINISTRATION",6900,"Department of Transportation",KA-2071-01 006142024,"Utility work ","","",1,2016,2016,"",,"",,"",,"",,"MOUNDRIDGE, CITY OF",,"","20.205"
{05DD03B3-8F15-2187-B334-E9BDFD7312EC},,,299900255L22E3,"sg",12/31/2015,"11","2015","","","SALINE","MO",651016811,"04","USA",025280335,"TRANSPORTATION, MISSOURI DEPARTMENT OF",6925,"FEDERAL HIGHWAY ADMINISTRATION",,"",,"",,"","",,,"",,"",,"",,"",,"",,"","","20.205",145676,06/05/2014,"CITY OF SLATER; PROJECT TO IMPROVE SIDEWALK AROUND SLATER SCHOOL CAMPUS","","Highway Planning and Construction;","","",2014,6900,"Department of Transportation",6900,"Department of Transportation",6925,,026436407,"City Of Slater","SLATER POLICE DEPARTMENT","117 WALNUT ST","Slater","MO",653491561,"04",USA,"","Slater","MO",653491561,04,USA,039414776,"",15602.6,11/04/2015,,"",,"",6925,"FEDERAL HIGHWAY ADMINISTRATION",6900,"Department of Transportation",9900255,"CITY OF SLATER; PROJECT TO IMPROVE SIDEWALK AROUND SLATER SCHOOL CAMPUS","","",11,2015,2016,"",,"",,"",,"",,"City Of Slater",,"","20.205"
{E3186063-BF7F-8C44-108E-F2C8FC68D8D3},,,29B082028L11E1,"sg",12/31/2015,"11","2015","","","PIKE","MO",63334,"06","USA",025280335,"TRANSPORTATION, MISSOURI DEPARTMENT OF",6925,"FEDERAL HIGHWAY ADMINISTRATION",,"",,"",,"","",,,"",,"",,"",,"",,"",,"","","20.205",56845,04/10/2014,"PIKE CO; REPLACE BRIDGES 1560008 &amp; 1560009 ON CART ROAD 156 OVER SHADY CREEK","","Highway Planning and Construction;","","",2014,6900,"Department of Transportation",6900,"Department of Transportation",6925,,958681504,"PIKE, COUNTY OF","PIKE COUNTY SHERIFF DEPT","1600 BUSINESS HIGHWAY 54 W","BOWLING GREEN","MO",633340000,"06",USA,"","BOWLING GREEN","MO",633340001,09,USA,060575750,"",4873.31,12/31/2015,,"",,"",6925,"FEDERAL HIGHWAY ADMINISTRATION",6900,"Department of Transportation",B082028,"PIKE CO; REPLACE BRIDGES 1560008 & 1560009 ON CART ROAD 156 OVER SHADY CREEK&#xD;","","",12,2015,2016,"",,"",,"",,"",,"PIKE, COUNTY OF",,"","20.205"
{463F8033-F105-16A3-F0F7-52998DE562F3},,,340003149M00132,"sg",01/06/2016,"10","2015","","","MERCER","NJ",086182309,"12","USA",806657177,"TRANSPORTATION, NEW JERSEY DEPT OF",6925,"FEDERAL HIGHWAY ADMINISTRATION",,"",,"",,"","",,,"",,"",,"",,"",,"",,"","","20.205",349519,08/18/2014,"PAVEMENT PRESERVATION SOUTH 2014-5","","Highway Planning and Construction;","","",2014,6900,"Department of Transportation",6900,"Department of Transportation",6925,,806657177,"TRANSPORTATION, NEW JERSEY DEPT OF","","1035 PARKWAY AVE 2ND FL","EWING","NJ",086182309,"12",USA,"","EWING","NJ",086182309,12,USA,067373258,"",61126.28,10/30/2015,,"",,"",6925,"FEDERAL HIGHWAY ADMINISTRATION",6900,"Department of Transportation",2205798,"PAVEMENT PRESE.-S-2014-5","","",10,2015,2016,"",,"",,"",,"",,"TRANSPORTATION, NEW JERSEY DEPT OF",,"","20.205"
{8488359E-B948-A17D-D7D0-D50D5E10FA1B},,,340001273M00132,"sg",01/06/2016,"10","2015","","","MONMOUTH","NJ",086182309,"12","USA",806657177,"TRANSPORTATION, NEW JERSEY DEPT OF",6925,"FEDERAL HIGHWAY ADMINISTRATION",,"",,"",,"","",,,"",,"",,"",,"",,"",,"","","20.205",891651,11/26/2013,"ROUTE 9 CRAIG ROAD/EAST FREEHOLD ROAD","","Highway Planning and Construction;","","",2014,6900,"Department of Transportation",6900,"Department of Transportation",6925,,806657177,"TRANSPORTATION, NEW JERSEY DEPT OF","","1035 PARKWAY AVE 2ND FL","EWING","NJ",086182309,"12",USA,"","EWING","NJ",086182309,12,USA,067373258,"",109136.42,10/30/2015,,"",,"",6925,"FEDERAL HIGHWAY ADMINISTRATION",6900,"Department of Transportation",1303528,"RT 9 & CRAIG / E. FREEHOLD RD","","",10,2015,2016,"",,"",,"",,"",,"TRANSPORTATION, NEW JERSEY DEPT OF",,"","20.205"
{754B599D-4B38-1146-9457-805B971A6635},,,340001276M00130,"sg",01/06/2016,"10","2015","","","MONMOUTH                 ","NJ",086182309,"12","USA",806657177,"TRANSPORTATION, NEW JERSEY DEPT OF",6925,"FEDERAL HIGHWAY ADMINISTRATION",,"",,"",,"","",,,"",,"",,"",,"",,"",,"","","20.205",2979765,08/18/2014,"ROUTE 9 KENNEDY BLVD TO MOROZ STREET","","Highway Planning and Construction;","","",2014,6900,"Department of Transportation",6900,"Department of Transportation",6925,,081992448,"JOSEPH DEFINO TRUCKING COMPANY, INCORPORATED","DEFINO CONTRACTING CO","28 INDUSTRIAL DR","KEYPORT","NJ",077356114,"06",USA,"","KEYPORT","NJ",077356114,06,USA,,"",93204.08,10/15/2015,,"",,"",6925,"FEDERAL HIGHWAY ADMINISTRATION",6900,"Department of Transportation",1504530,"ROUTE 9 KENNEDY BLVD TO MOROZ","","",10,2015,2016,"",,"",,"",,"",,"JOSEPH DEFINO TRUCKING COMPANY, INCORPORATED",,"","20.205"
{10044DB1-3B74-E112-77F7-06EA46D60013},,,340001276M00132,"sg",01/06/2016,"10","2015","","","MONMOUTH                 ","NJ",086182309,"12","USA",806657177,"TRANSPORTATION, NEW JERSEY DEPT OF",6925,"FEDERAL HIGHWAY ADMINISTRATION",,"",,"",,"","",,,"",,"",,"",,"",,"",,"","","20.205",359771,08/18/2014,"ROUTE 9 KENNEDY BLVD TO MOROZ STREET","","Highway Planning and Construction;","","",2014,6900,"Department of Transportation",6900,"Department of Transportation",6925,,806657177,"TRANSPORTATION, NEW JERSEY DEPT OF","","1035 PARKWAY AVE 2ND FL","EWING","NJ",086182309,"12",USA,"","EWING","NJ",086182309,12,USA,067373258,"",28300.18,10/30/2015,,"",,"",6925,"FEDERAL HIGHWAY ADMINISTRATION",6900,"Department of Transportation",1504530,"ROUTE 9 KENNEDY BLVD TO MOROZ","","",10,2015,2016,"",,"",,"",,"",,"TRANSPORTATION, NEW JERSEY DEPT OF",,"","20.205"
